place,name,blkgrps,population,households,alltransit_performance_score,state
"""4616820""","""Doland""",0.0,1.8,0.63,0.0,SD
"""4616860""","""Dolton""",0.0,2.0,0.76,0.0,SD
"""4617020""","""Draper""",0.0,0.5,0.27,0.0,SD
"""4617420""","""Dupree""",0.0,0.47,0.14,0.0,SD
"""4617620""","""Eagle Butte""",0.1,100.04,26.74,0.0,SD
"""4618180""","""Eden""",0.0,0.41,0.16,0.0,SD
"""4618300""","""Edgemont""",0.0,1.3,0.57,0.0,SD
"""4618460""","""Egan""",0.04,49.22,21.26,0.0,SD
"""4618620""","""Elk Point""",1.1,1469.77,567.33,0.0,SD
"""4618700""","""Elkton""",0.04,33.66,12.21,0.0,SD
"""4619420""","""Emery""",0.0,3.5,1.04,0.0,SD
"""4619860""","""Erwin""",0.0,2.31,1.06,0.0,SD
"""4619980""","""Estelline""",0.01,14.22,5.92,0.0,SD
"""4620060""","""Ethan""",0.0,4.22,1.73,0.0,SD
"""4620180""","""Eureka""",0.1,92.98,50.47,0.0,SD
"""4620340""","""Fairburn""",0.0,0.87,0.41,0.0,SD
"""4620380""","""Fairfax""",0.0,1.21,0.53,0.0,SD
"""4620780""","""Fairview""",0.0,1.32,0.46,0.0,SD
"""4620980""","""Faith""",0.0,1.15,0.42,0.0,SD
"""4621060""","""Farmer""",0.0,0.64,0.19,0.0,SD
"""4621260""","""Faulkton""",0.03,28.05,13.02,0.0,SD
"""4621340""","""Fedora""",0.01,7.83,3.44,0.0,SD
"""4621380""","""Ferney""",0.0,2.0,0.83,0.0,SD
"""4621540""","""Flandreau""",0.87,638.41,264.74,0.0,SD
"""4621820""","""Florence""",0.0,4.62,1.74,0.0,SD
"""4622100""","""Forestburg""",0.0,1.79,0.8,0.0,SD
"""4622260""","""Fort Pierre""",0.41,981.23,426.55,0.0,SD
"""4622340""","""Fort Thompson""",0.04,34.78,9.48,0.0,SD
"""4622580""","""Frankfort""",0.0,2.41,0.84,0.0,SD
"""4622860""","""Frederick""",0.0,0.7,0.31,0.0,SD
"""4623020""","""Freeman""",0.13,176.87,74.14,0.0,SD
"""4623140""","""Fruitdale""",0.0,2.81,1.0,0.0,SD
"""4623220""","""Fulton""",0.0,5.73,1.73,0.0,SD
"""4623421""","""Gann Valley""",0.0,0.2,0.06,0.0,SD
"""4623460""","""Garden City""",0.0,0.9,0.34,0.0,SD
"""4623820""","""Garretson""",0.01,31.47,11.74,0.0,SD
"""4623860""","""Gary""",0.0,2.45,1.1,0.0,SD
"""4623900""","""Gayville""",0.01,5.49,2.22,0.0,SD
"""4623980""","""Geddes""",0.0,1.73,0.71,0.0,SD
"""4624260""","""Gettysburg""",0.35,445.02,190.55,0.0,SD
"""4624620""","""Glenham""",0.0,0.58,0.22,0.0,SD
"""4624775""","""Goodwill""",0.01,11.44,2.95,0.0,SD
"""4624820""","""Goodwin""",0.0,1.48,0.69,0.0,SD
"""4625900""","""Green Grass""",0.04,23.1,6.31,0.0,SD
